country,country_code_2_digit,country_code_3_digit,population,reported_date,icu_occupancy_count,hospital_occupancy_count,source
Austria,AT,AUT,8858775,2020-10-25,174,1225,Country_Website
Belgium,BE,BEL,11455519,2020-10-25,756,4825,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-25,138,1976,External_Github
Czechia,CZ,CZE,10649800,2020-10-25,828,5613,Country_Website
Denmark,DK,DNK,5806081,2020-10-25,18,127,Country_Website
Estonia,EE,EST,1324820,2020-10-25,4,29,Country_API
France,FR,FRA,67012883,2020-10-25,2575,16454,Country_Website
Hungary,HU,HUN,9772756,2020-10-25,221,2449,JRC
Ireland,IE,IRL,4904240,2020-10-25,39,319,Country_Website
Italy,IT,ITA,60359546,2020-10-25,1208,13214,Country_Github
Latvia,LV,LVA,1919968,2020-10-25,,146,Country_Website
Luxembourg,LU,LUX,613894,2020-10-25,12,114,Country_Website
Netherlands,NL,NLD,17282163,2020-10-25,537,,Other Website
Portugal,PT,PRT,10276617,2020-10-25,230,1574,Country_Website
Romania,RO,ROU,19414458,2020-10-25,828,,Country_Website
Slovakia,SK,SVK,5450421,2020-10-25,,1117,JRC
Slovenia,SI,SVN,2080908,2020-10-25,73,508,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-25,,9199,Country_Website
Austria,AT,AUT,8858775,2020-10-24,175,1177,Country_Website
Belgium,BE,BEL,11455519,2020-10-24,694,4408,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-24,127,1886,External_Github
Czechia,CZ,CZE,10649800,2020-10-24,800,5345,Country_Website
Denmark,DK,DNK,5806081,2020-10-24,17,120,Country_Website
Estonia,EE,EST,1324820,2020-10-24,3,28,Country_API
France,FR,FRA,67012883,2020-10-24,2491,15637,Country_Website
Hungary,HU,HUN,9772756,2020-10-24,205,2245,JRC
Poland,PL,POL,37972812,2020-04-19,,2482,Surveillance
Portugal,PT,PRT,10276617,2020-04-19,224,1243,Country_Website
Romania,RO,ROU,19414458,2020-04-19,256,,Country_Website
Slovenia,SI,SVN,2080908,2020-04-19,26,89,Country_Github
United Kingdom,UK,GBR,66647112,2020-04-19,,17455,Country_Website
Belgium,BE,BEL,11455519,2020-04-18,1081,4892,Country_Website
Bulgaria,BG,BGR,7000039,2020-04-18,44,246,External_Github
Croatia,HR,HRV,4076246,2020-04-18,,361,Country_Website
Czechia,CZ,CZE,10649800,2020-04-18,75,338,Country_Website
Denmark,DK,DNK,5806081,2020-04-18,87,317,Country_Website
Estonia,EE,EST,1324820,2020-04-18,,123,Country_API
Estonia,EE,EST,1324820,2020-04-18,10,,Surveillance
Finland,FI,FIN,5517919,2020-04-18,70,199,External_Github
France,FR,FRA,67012883,2020-04-18,5733,30515,Country_Website
Iceland,IS,ISL,356991,2020-04-18,5,28,Country_Website
Ireland,IE,IRL,4904240,2020-04-18,134,811,Country_Website
Italy,IT,ITA,60359546,2020-04-18,2733,27740,Country_Github
Latvia,LV,LVA,1919968,2020-04-18,,37,Surveillance
Luxembourg,LU,LUX,613894,2020-04-18,40,176,Country_Website
Malta,MT,MLT,493559,2020-04-18,1,,Surveillance
Netherlands,NL,NLD,17282163,2020-04-18,1058,,Other Website
Norway,NO,NOR,5328212,2020-04-18,,148,Country_API
Portugal,PT,PRT,10276617,2020-04-18,228,1253,Country_Website
Romania,RO,ROU,19414458,2020-04-18,248,,Country_Website
Slovenia,SI,SVN,2080908,2020-04-18,27,93,Country_Github
United Kingdom,UK,GBR,66647112,2020-04-18,,17442,Country_Website
Slovenia,SI,SVN,2080908,2020-04-06,30,112,Country_Github
United Kingdom,UK,GBR,66647112,2020-04-06,,18256,Country_Website
Belgium,BE,BEL,11455519,2020-04-05,1267,5620,Country_Website
Czechia,CZ,CZE,10649800,2020-04-05,82,370,Country_Website
Denmark,DK,DNK,5806081,2020-04-05,138,498,Country_Website
Estonia,EE,EST,1324820,2020-04-05,14,,Surveillance
Estonia,EE,EST,1324820,2020-04-05,,135,Country_API
Finland,FI,FIN,5517919,2020-04-05,76,209,External_Github
France,FR,FRA,67012883,2020-04-05,6859,28747,Country_Website
Iceland,IS,ISL,356991,2020-04-05,11,36,Country_Website
Ireland,IE,IRL,4904240,2020-04-05,139,702,Country_Website
Italy,IT,ITA,60359546,2020-04-05,3977,32926,Country_Github
Latvia,LV,LVA,1919968,2020-04-05,,36,Surveillance
Luxembourg,LU,LUX,613894,2020-04-05,43,203,Country_Website
Malta,MT,MLT,493559,2020-04-05,4,,Surveillance
Netherlands,NL,NLD,17282163,2020-04-05,1306,,Other Website
Norway,NO,NOR,5328212,2020-04-05,,310,Country_API
Portugal,PT,PRT,10276617,2020-04-05,267,1084,Country_Website
Romania,RO,ROU,19414458,2020-04-05,141,,Country_Website
Slovenia,SI,SVN,2080908,2020-04-05,31,110,Country_Github
United Kingdom,UK,GBR,66647112,2020-04-05,,17779,Country_Website
Belgium,BE,BEL,11455519,2020-04-04,1261,5531,Country_Website
Czechia,CZ,CZE,10649800,2020-04-04,85,365,Country_Website
Denmark,DK,DNK,5806081,2020-04-04,138,503,Country_Website
Estonia,EE,EST,1324820,2020-04-04,,134,Country_API
Estonia,EE,EST,1324820,2020-04-04,17,,Surveillance
Romania,RO,ROU,19414458,2020-04-02,78,,Country_Website
Slovenia,SI,SVN,2080908,2020-04-02,30,108,Country_Github
United Kingdom,UK,GBR,66647112,2020-04-02,,13255,Country_Website
Belgium,BE,BEL,11455519,2020-04-01,1144,5220,Country_Website
Czechia,CZ,CZE,10649800,2020-04-01,75,344,Country_Website
Denmark,DK,DNK,5806081,2020-04-01,146,535,Country_Website
Estonia,EE,EST,1324820,2020-04-01,,93,Country_API
Estonia,EE,EST,1324820,2020-04-01,16,,Surveillance
Finland,FI,FIN,5517919,2020-04-01,62,159,External_Github
France,FR,FRA,67012883,2020-04-01,5940,24543,Country_Website
Iceland,IS,ISL,356991,2020-04-01,14,43,Country_Website
Ireland,IE,IRL,4904240,2020-04-01,128,656,Country_Website
Italy,IT,ITA,60359546,2020-04-01,4035,32438,Country_Github
Latvia,LV,LVA,1919968,2020-04-01,,28,Surveillance
Luxembourg,LU,LUX,613894,2020-04-01,33,187,Country_Website
Malta,MT,MLT,493559,2020-04-01,3,,Surveillance
Netherlands,NL,NLD,17282163,2020-04-01,1210,,Other Website
Norway,NO,NOR,5328212,2020-04-01,,325,Country_API
Portugal,PT,PRT,10276617,2020-04-01,230,726,Country_Website
Slovenia,SI,SVN,2080908,2020-04-01,31,109,Country_Github
United Kingdom,UK,GBR,66647112,2020-04-01,,13108,Country_Website
Belgium,BE,BEL,11455519,2020-03-31,1088,4989,Country_Website
Czechia,CZ,CZE,10649800,2020-03-31,72,320,Country_Website
Denmark,DK,DNK,5806081,2020-03-31,145,529,Country_Website
Estonia,EE,EST,1324820,2020-03-31,15,,Surveillance
Estonia,EE,EST,1324820,2020-03-31,,102,Country_API
Belgium,BE,BEL,11455519,2020-04-10,1262,5663,Country_Website
Bulgaria,BG,BGR,7000039,2020-04-10,33,231,External_Github
Czechia,CZ,CZE,10649800,2020-04-10,89,403,Country_Website
Denmark,DK,DNK,5806081,2020-04-10,113,401,Country_Website
Estonia,EE,EST,1324820,2020-04-10,11,,Surveillance
Estonia,EE,EST,1324820,2020-04-10,,143,Country_API
Finland,FI,FIN,5517919,2020-04-10,81,236,External_Github
France,FR,FRA,67012883,2020-04-10,6875,31108,Country_Website
Iceland,IS,ISL,356991,2020-04-10,10,38,Country_Website
Ireland,IE,IRL,4904240,2020-04-10,155,825,Country_Website
Italy,IT,ITA,60359546,2020-04-10,3497,31739,Country_Github
Latvia,LV,LVA,1919968,2020-04-10,,35,Surveillance
Luxembourg,LU,LUX,613894,2020-04-10,38,203,Country_Website
Malta,MT,MLT,493559,2020-04-10,4,,Surveillance
Netherlands,NL,NLD,17282163,2020-04-10,1285,,Other Website
Norway,NO,NOR,5328212,2020-04-10,,234,Country_API
Portugal,PT,PRT,10276617,2020-04-10,226,1179,Country_Website
Romania,RO,ROU,19414458,2020-04-10,183,,Country_Website
Slovenia,SI,SVN,2080908,2020-04-10,36,106,Country_Github
United Kingdom,UK,GBR,66647112,2020-04-10,,19617,Country_Website
Belgium,BE,BEL,11455519,2020-04-09,1278,5636,Country_Website
Bulgaria,BG,BGR,7000039,2020-04-09,32,233,External_Github
Czechia,CZ,CZE,10649800,2020-04-09,96,416,Country_Website
Denmark,DK,DNK,5806081,2020-04-09,120,433,Country_Website
Estonia,EE,EST,1324820,2020-04-09,,136,Country_API
Estonia,EE,EST,1324820,2020-04-09,9,,Surveillance
Norway,NO,NOR,5328212,2020-03-26,,266,Country_API
Portugal,PT,PRT,10276617,2020-03-26,61,191,Country_Website
Romania,RO,ROU,19414458,2020-03-26,29,,Country_Website
Slovenia,SI,SVN,2080908,2020-03-26,16,81,Country_Github
Belgium,BE,BEL,11455519,2020-03-25,612,2721,Country_Website
Czechia,CZ,CZE,10649800,2020-03-25,36,174,Country_Website
Denmark,DK,DNK,5806081,2020-03-25,87,350,Country_Website
Estonia,EE,EST,1324820,2020-03-25,7,,Surveillance
Estonia,EE,EST,1324820,2020-03-25,,47,Country_API
Finland,FI,FIN,5517919,2020-03-25,22,82,External_Github
France,FR,FRA,67012883,2020-03-25,2935,12072,Country_Website
Iceland,IS,ISL,356991,2020-03-25,3,18,Country_Website
Ireland,IE,IRL,4904240,2020-03-25,,290,Country_Website
Italy,IT,ITA,60359546,2020-03-25,3489,26601,Country_Github
Luxembourg,LU,LUX,613894,2020-03-25,21,149,Country_Website
Malta,MT,MLT,493559,2020-03-25,0,,Surveillance
Netherlands,NL,NLD,17282163,2020-03-25,754,,Other Website
Norway,NO,NOR,5328212,2020-03-25,,237,Country_API
Portugal,PT,PRT,10276617,2020-03-25,61,276,Country_Website
Romania,RO,ROU,19414458,2020-03-25,18,,Country_Website
Slovenia,SI,SVN,2080908,2020-03-25,14,78,Country_Github
Belgium,BE,BEL,11455519,2020-03-24,474,2140,Country_Website
Czechia,CZ,CZE,10649800,2020-03-24,26,135,Country_Website
Denmark,DK,DNK,5806081,2020-03-24,69,301,Country_Website
Estonia,EE,EST,1324820,2020-03-24,,40,Country_API
Estonia,EE,EST,1324820,2020-03-24,7,,Surveillance
Poland,PL,POL,37972812,2020-09-16,,2007,Country_Website
Portugal,PT,PRT,10276617,2020-09-16,61,482,Country_Website
Romania,RO,ROU,19414458,2020-09-16,471,,Country_Website
Slovakia,SK,SVK,5450421,2020-09-16,,141,JRC
Slovenia,SI,SVN,2080908,2020-09-16,11,61,Country_Github
United Kingdom,UK,GBR,66647112,2020-09-16,,1055,Country_Website
Austria,AT,AUT,8858775,2020-09-15,49,293,Country_Website
Belgium,BE,BEL,11455519,2020-09-15,67,315,Country_Website
Bulgaria,BG,BGR,7000039,2020-09-15,49,730,External_Github
Croatia,HR,HRV,4076246,2020-09-15,,299,Country_Website
Czechia,CZ,CZE,10649800,2020-09-15,81,388,Country_Website
Denmark,DK,DNK,5806081,2020-09-15,3,56,Country_Website
Estonia,EE,EST,1324820,2020-09-15,2,19,Country_API
France,FR,FRA,67012883,2020-09-15,752,5660,Country_Website
Hungary,HU,HUN,9772756,2020-09-15,17,306,JRC
Ireland,IE,IRL,4904240,2020-09-15,13,68,Country_Website
Italy,IT,ITA,60359546,2020-09-15,201,2423,Country_Github
Latvia,LV,LVA,1919968,2020-09-15,,10,Country_Website
Luxembourg,LU,LUX,613894,2020-09-15,0,22,Country_Website
Netherlands,NL,NLD,17282163,2020-09-15,71,,Other Website
Norway,NO,NOR,5328212,2020-09-15,,18,Country_API
Poland,PL,POL,37972812,2020-09-15,,1996,Country_Website
Portugal,PT,PRT,10276617,2020-09-15,59,478,Country_Website
Romania,RO,ROU,19414458,2020-09-15,460,,Country_Website
Slovakia,SK,SVK,5450421,2020-09-15,,141,JRC
Slovenia,SI,SVN,2080908,2020-09-15,10,50,Country_Github
Poland,PL,POL,37972812,2020-08-09,,1930,Country_Website
Portugal,PT,PRT,10276617,2020-08-09,33,366,Country_Website
Romania,RO,ROU,19414458,2020-08-09,458,,Country_Website
Slovakia,SK,SVK,5450421,2020-08-09,,43,JRC
Slovenia,SI,SVN,2080908,2020-08-09,3,24,Country_Github
United Kingdom,UK,GBR,66647112,2020-08-09,,909,Country_Website
Austria,AT,AUT,8858775,2020-08-08,24,120,Country_Website
Belgium,BE,BEL,11455519,2020-08-08,67,281,Country_Website
Bulgaria,BG,BGR,7000039,2020-08-08,55,857,External_Github
Croatia,HR,HRV,4076246,2020-08-08,,120,Country_Website
Czechia,CZ,CZE,10649800,2020-08-08,16,104,Country_Website
Denmark,DK,DNK,5806081,2020-08-08,2,21,Country_Website
Estonia,EE,EST,1324820,2020-08-08,2,8,Country_API
France,FR,FRA,67012883,2020-08-08,366,4981,Country_Website
Hungary,HU,HUN,9772756,2020-08-08,6,69,JRC
Ireland,IE,IRL,4904240,2020-08-08,6,12,Country_Website
Italy,IT,ITA,60359546,2020-08-08,43,814,Country_Github
Latvia,LV,LVA,1919968,2020-08-08,,7,Surveillance
Luxembourg,LU,LUX,613894,2020-08-08,8,47,Country_Website
Netherlands,NL,NLD,17282163,2020-08-08,35,,Other Website
Poland,PL,POL,37972812,2020-08-08,,1928,Country_Website
Portugal,PT,PRT,10276617,2020-08-08,33,357,Country_Website
Romania,RO,ROU,19414458,2020-08-08,448,,Country_Website
Slovakia,SK,SVK,5450421,2020-08-08,,40,JRC
Slovenia,SI,SVN,2080908,2020-08-08,3,22,Country_Github
United Kingdom,UK,GBR,66647112,2020-08-08,,934,Country_Website
France,FR,FRA,67012883,2020-05-25,1572,16742,Country_Website
Hungary,HU,HUN,9772756,2020-05-25,30,,JRC
Iceland,IS,ISL,356991,2020-05-25,0,0,Country_Website
Ireland,IE,IRL,4904240,2020-05-25,48,305,Country_Website
Italy,IT,ITA,60359546,2020-05-25,541,8726,Country_Github
Latvia,LV,LVA,1919968,2020-05-25,,27,Surveillance
Luxembourg,LU,LUX,613894,2020-05-25,6,36,Country_Website
Netherlands,NL,NLD,17282163,2020-05-25,213,,Other Website
Norway,NO,NOR,5328212,2020-05-25,,40,Country_API
Poland,PL,POL,37972812,2020-05-25,,2268,Surveillance
Portugal,PT,PRT,10276617,2020-05-25,72,531,Country_Website
Romania,RO,ROU,19414458,2020-05-25,177,,Country_Website
Slovakia,SK,SVK,5450421,2020-05-25,,61,JRC
Slovenia,SI,SVN,2080908,2020-05-25,3,16,Country_Github
United Kingdom,UK,GBR,66647112,2020-05-25,,7884,Country_Website
Austria,AT,AUT,8858775,2020-05-24,29,137,Country_Website
Belgium,BE,BEL,11455519,2020-05-24,251,1306,Country_Website
Bulgaria,BG,BGR,7000039,2020-05-24,22,234,External_Github
Croatia,HR,HRV,4076246,2020-05-24,,81,Country_Website
Czechia,CZ,CZE,10649800,2020-05-24,22,94,Country_Website
Denmark,DK,DNK,5806081,2020-05-24,21,115,Country_Website
Estonia,EE,EST,1324820,2020-05-24,5,40,Country_API
Finland,FI,FIN,5517919,2020-05-24,19,106,External_Github
France,FR,FRA,67012883,2020-05-24,1618,17129,Country_Website
Hungary,HU,HUN,9772756,2020-05-24,28,442,JRC
Iceland,IS,ISL,356991,2020-05-24,0,0,Country_Website
Ireland,IE,IRL,4904240,2020-10-24,37,312,Country_Website
Italy,IT,ITA,60359546,2020-10-24,1128,12415,Country_Github
Latvia,LV,LVA,1919968,2020-10-24,,127,Country_Website
Luxembourg,LU,LUX,613894,2020-10-24,12,103,Country_Website
Netherlands,NL,NLD,17282163,2020-10-24,525,,Other Website
Portugal,PT,PRT,10276617,2020-10-24,221,1455,Country_Website
Romania,RO,ROU,19414458,2020-10-24,787,,Country_Website
Slovakia,SK,SVK,5450421,2020-10-24,,920,JRC
Slovenia,SI,SVN,2080908,2020-10-24,66,450,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-24,,8738,Country_Website
Austria,AT,AUT,8858775,2020-10-23,158,1058,Country_Website
Belgium,BE,BEL,11455519,2020-10-23,633,4057,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-23,112,1792,External_Github
Croatia,HR,HRV,4076246,2020-10-23,,716,Country_Website
Czechia,CZ,CZE,10649800,2020-10-23,772,5314,Country_Website
Denmark,DK,DNK,5806081,2020-10-23,18,125,Country_Website
Estonia,EE,EST,1324820,2020-10-23,3,27,Country_API
Finland,FI,FIN,5517919,2020-10-23,11,70,External_Github
France,FR,FRA,67012883,2020-10-23,2432,14985,Country_Website
Hungary,HU,HUN,9772756,2020-10-23,200,2209,JRC
Ireland,IE,IRL,4904240,2020-10-23,38,311,Country_Website
Italy,IT,ITA,60359546,2020-10-23,1049,11598,Country_Github
Latvia,LV,LVA,1919968,2020-10-23,,113,Country_Website
Luxembourg,LU,LUX,613894,2020-10-23,12,88,Country_Website
Netherlands,NL,NLD,17282163,2020-10-23,518,,Other Website
Finland,FI,FIN,5517919,2020-04-14,75,232,External_Github
France,FR,FRA,67012883,2020-04-14,6599,32131,Country_Website
Iceland,IS,ISL,356991,2020-04-14,8,31,Country_Website
Ireland,IE,IRL,4904240,2020-04-14,149,868,Country_Website
Italy,IT,ITA,60359546,2020-04-14,3186,31197,Country_Github
Latvia,LV,LVA,1919968,2020-04-14,,46,Surveillance
Luxembourg,LU,LUX,613894,2020-04-14,43,183,Country_Website
Malta,MT,MLT,493559,2020-04-14,3,,Surveillance
Netherlands,NL,NLD,17282163,2020-04-14,1192,,Other Website
Norway,NO,NOR,5328212,2020-04-14,,201,Country_API
Portugal,PT,PRT,10276617,2020-04-14,218,1227,Country_Website
Romania,RO,ROU,19414458,2020-04-14,241,,Country_Website
Slovenia,SI,SVN,2080908,2020-04-14,35,103,Country_Github
United Kingdom,UK,GBR,66647112,2020-04-14,,19232,Country_Website
Belgium,BE,BEL,11455519,2020-04-13,1226,5554,Country_Website
Bulgaria,BG,BGR,7000039,2020-04-13,36,230,External_Github
Czechia,CZ,CZE,10649800,2020-04-13,93,394,Country_Website
Denmark,DK,DNK,5806081,2020-04-13,100,388,Country_Website
Estonia,EE,EST,1324820,2020-04-13,11,,Surveillance
Estonia,EE,EST,1324820,2020-04-13,,146,Country_API
Finland,FI,FIN,5517919,2020-04-13,74,230,External_Github
France,FR,FRA,67012883,2020-04-13,6690,31952,Country_Website
Iceland,IS,ISL,356991,2020-04-13,8,35,Country_Website
Ireland,IE,IRL,4904240,2020-04-13,143,868,Country_Website
Italy,IT,ITA,60359546,2020-04-13,3260,31283,Country_Github
Norway,NO,NOR,5328212,2020-04-12,,214,Country_API
Portugal,PT,PRT,10276617,2020-04-12,228,1177,Country_Website
Romania,RO,ROU,19414458,2020-04-12,204,,Country_Website
Slovenia,SI,SVN,2080908,2020-04-12,35,95,Country_Github
United Kingdom,UK,GBR,66647112,2020-04-12,,19849,Country_Website
Belgium,BE,BEL,11455519,2020-04-11,1232,5437,Country_Website
Bulgaria,BG,BGR,7000039,2020-04-11,35,231,External_Github
Czechia,CZ,CZE,10649800,2020-04-11,87,403,Country_Website
Denmark,DK,DNK,5806081,2020-04-11,106,408,Country_Website
Estonia,EE,EST,1324820,2020-04-11,,150,Country_API
Estonia,EE,EST,1324820,2020-04-11,11,,Surveillance
Finland,FI,FIN,5517919,2020-04-11,80,235,External_Github
France,FR,FRA,67012883,2020-04-11,6752,31159,Country_Website
Iceland,IS,ISL,356991,2020-04-11,9,40,Country_Website
Ireland,IE,IRL,4904240,2020-04-11,155,856,Country_Website
Italy,IT,ITA,60359546,2020-04-11,3381,31525,Country_Github
Latvia,LV,LVA,1919968,2020-04-11,,36,Surveillance
Luxembourg,LU,LUX,613894,2020-04-11,40,190,Country_Website
Malta,MT,MLT,493559,2020-04-11,4,,Surveillance
Netherlands,NL,NLD,17282163,2020-04-11,1250,,Other Website
Norway,NO,NOR,5328212,2020-04-11,,214,Country_API
Portugal,PT,PRT,10276617,2020-04-11,233,1175,Country_Website
Romania,RO,ROU,19414458,2020-04-11,208,,Country_Website
Slovenia,SI,SVN,2080908,2020-04-11,35,94,Country_Github
United Kingdom,UK,GBR,66647112,2020-04-11,,19493,Country_Website
United Kingdom,UK,GBR,66647112,2020-10-04,,2913,Country_Website
Austria,AT,AUT,8858775,2020-10-03,97,494,Country_Website
Belgium,BE,BEL,11455519,2020-10-03,185,819,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-03,50,887,External_Github
Croatia,HR,HRV,4076246,2020-10-03,,289,Country_Website
Czechia,CZ,CZE,10649800,2020-10-03,274,1182,Country_Website
Denmark,DK,DNK,5806081,2020-10-03,17,105,Country_Website
Estonia,EE,EST,1324820,2020-10-03,4,41,Country_API
France,FR,FRA,67012883,2020-10-03,1289,6740,Country_Website
Hungary,HU,HUN,9772756,2020-10-03,43,704,JRC
Ireland,IE,IRL,4904240,2020-10-03,20,120,Country_Website
Italy,IT,ITA,60359546,2020-10-03,297,3502,Country_Github
Latvia,LV,LVA,1919968,2020-10-03,,24,Country_Website
Luxembourg,LU,LUX,613894,2020-10-03,2,21,Country_Website
Netherlands,NL,NLD,17282163,2020-10-03,189,,Other Website
Poland,PL,POL,37972812,2020-10-03,,2850,Country_Website
Portugal,PT,PRT,10276617,2020-10-03,106,668,Country_Website
Romania,RO,ROU,19414458,2020-10-03,583,,Country_Website
Slovakia,SK,SVK,5450421,2020-10-03,,275,JRC
Slovenia,SI,SVN,2080908,2020-10-03,15,94,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-03,,2734,Country_Website
Austria,AT,AUT,8858775,2020-10-02,100,472,Country_Website
Belgium,BE,BEL,11455519,2020-10-02,163,789,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-02,47,857,External_Github
Croatia,HR,HRV,4076246,2020-10-02,,286,Country_Website
Finland,FI,FIN,5517919,2020-04-22,63,199,External_Github
France,FR,FRA,67012883,2020-04-22,5127,29627,Country_Website
Iceland,IS,ISL,356991,2020-04-22,5,15,Country_Website
Ireland,IE,IRL,4904240,2020-04-22,131,778,Country_Website
Italy,IT,ITA,60359546,2020-04-22,2384,26189,Country_Github
Latvia,LV,LVA,1919968,2020-04-22,,42,Surveillance
Luxembourg,LU,LUX,613894,2020-04-22,35,160,Country_Website
Malta,MT,MLT,493559,2020-04-22,1,,Surveillance
Netherlands,NL,NLD,17282163,2020-04-22,917,,Other Website
Norway,NO,NOR,5328212,2020-04-22,,129,Country_API
Poland,PL,POL,37972812,2020-04-22,,3505,Surveillance
Portugal,PT,PRT,10276617,2020-04-22,207,1146,Country_Website
Romania,RO,ROU,19414458,2020-04-22,288,,Country_Website
Slovenia,SI,SVN,2080908,2020-04-22,24,82,Country_Github
United Kingdom,UK,GBR,66647112,2020-04-22,,16497,Country_Website
Austria,AT,AUT,8858775,2020-04-21,196,756,Surveillance
Belgium,BE,BEL,11455519,2020-04-21,1020,4765,Country_Website
Bulgaria,BG,BGR,7000039,2020-04-21,34,268,External_Github
Croatia,HR,HRV,4076246,2020-04-21,,317,Country_Website
Czechia,CZ,CZE,10649800,2020-04-21,79,366,Country_Website
Denmark,DK,DNK,5806081,2020-04-21,81,335,Country_Website
Estonia,EE,EST,1324820,2020-04-21,13,110,Country_API
Finland,FI,FIN,5517919,2020-04-21,63,202,External_Github
France,FR,FRA,67012883,2020-04-21,5334,29984,Country_Website
Iceland,IS,ISL,356991,2020-04-21,5,18,Country_Website
Ireland,IE,IRL,4904240,2020-04-21,133,774,Country_Website
Italy,IT,ITA,60359546,2020-04-21,2471,26605,Country_Github
Latvia,LV,LVA,1919968,2020-04-21,,43,Surveillance
Luxembourg,LU,LUX,613894,2020-04-21,38,164,Country_Website
Malta,MT,MLT,493559,2020-04-21,1,,Surveillance
Netherlands,NL,NLD,17282163,2020-04-21,973,,Other Website
Norway,NO,NOR,5328212,2020-04-21,,144,Country_API
Poland,PL,POL,37972812,2020-04-21,,2914,Surveillance
Portugal,PT,PRT,10276617,2020-04-21,213,1172,Country_Website
Romania,RO,ROU,19414458,2020-04-21,245,,Country_Website
Slovenia,SI,SVN,2080908,2020-04-21,25,86,Country_Github
United Kingdom,UK,GBR,66647112,2020-04-21,,17074,Country_Website
Belgium,BE,BEL,11455519,2020-04-20,1079,4996,Country_Website
Bulgaria,BG,BGR,7000039,2020-04-20,36,268,External_Github
Croatia,HR,HRV,4076246,2020-04-20,,324,Country_Website
Czechia,CZ,CZE,10649800,2020-04-20,78,349,Country_Website
Denmark,DK,DNK,5806081,2020-04-20,84,336,Country_Website
Estonia,EE,EST,1324820,2020-04-20,14,121,Country_API
Finland,FI,FIN,5517919,2020-04-20,67,209,External_Github
France,FR,FRA,67012883,2020-04-20,5584,30462,Country_Website
Iceland,IS,ISL,356991,2020-04-20,5,21,Country_Website
Ireland,IE,IRL,4904240,2020-04-20,139,820,Country_Website
Italy,IT,ITA,60359546,2020-04-20,2573,27479,Country_Github
Latvia,LV,LVA,1919968,2020-04-20,,45,Surveillance
Luxembourg,LU,LUX,613894,2020-04-20,39,169,Country_Website
Slovenia,SI,SVN,2080908,2020-03-29,24,108,Country_Github
United Kingdom,UK,GBR,66647112,2020-03-29,,9237,Country_Website
Belgium,BE,BEL,11455519,2020-03-28,867,4089,Country_Website
Czechia,CZ,CZE,10649800,2020-03-28,57,271,Country_Website
Denmark,DK,DNK,5806081,2020-03-28,121,459,Country_Website
Estonia,EE,EST,1324820,2020-03-28,,72,Country_API
Estonia,EE,EST,1324820,2020-03-28,10,,Surveillance
Finland,FI,FIN,5517919,2020-03-28,31,112,External_Github
France,FR,FRA,67012883,2020-03-28,4236,17580,Country_Website
Iceland,IS,ISL,356991,2020-03-28,7,26,Country_Website
Ireland,IE,IRL,4904240,2020-03-28,80,442,Country_Website
Italy,IT,ITA,60359546,2020-03-28,3856,30532,Country_Github
Luxembourg,LU,LUX,613894,2020-03-28,29,181,Country_Website
Malta,MT,MLT,493559,2020-03-28,2,,Surveillance
Netherlands,NL,NLD,17282163,2020-03-28,993,,Other Website
Norway,NO,NOR,5328212,2020-03-28,,291,Country_API
Portugal,PT,PRT,10276617,2020-03-28,89,418,Country_Website
Romania,RO,ROU,19414458,2020-03-28,34,,Country_Website
Slovenia,SI,SVN,2080908,2020-03-28,23,102,Country_Github
United Kingdom,UK,GBR,66647112,2020-03-28,,8019,Country_Website
Belgium,BE,BEL,11455519,2020-03-27,789,3650,Country_Website
Czechia,CZ,CZE,10649800,2020-03-27,48,237,Country_Website
Denmark,DK,DNK,5806081,2020-03-27,109,430,Country_Website
Estonia,EE,EST,1324820,2020-03-27,10,,Surveillance
Estonia,EE,EST,1324820,2020-03-27,,59,Country_API
Slovenia,SI,SVN,2080908,2020-10-22,62,356,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-22,,7903,Country_Website
Austria,AT,AUT,8858775,2020-10-21,147,960,Country_Website
Belgium,BE,BEL,11455519,2020-10-21,525,3275,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-21,93,1633,External_Github
Croatia,HR,HRV,4076246,2020-10-21,,622,Country_Website
Czechia,CZ,CZE,10649800,2020-10-21,735,4777,Country_Website
Denmark,DK,DNK,5806081,2020-10-21,16,122,Country_Website
Estonia,EE,EST,1324820,2020-10-21,3,32,Country_API
Finland,FI,FIN,5517919,2020-10-21,7,65,External_Github
France,FR,FRA,67012883,2020-10-21,2239,13162,Country_Website
Hungary,HU,HUN,9772756,2020-10-21,201,2023,JRC
Ireland,IE,IRL,4904240,2020-10-21,35,324,Country_Website
Italy,IT,ITA,60359546,2020-10-21,926,9983,Country_Github
Latvia,LV,LVA,1919968,2020-10-21,,79,Country_Website
Luxembourg,LU,LUX,613894,2020-10-21,8,69,Country_Website
Netherlands,NL,NLD,17282163,2020-10-21,493,,Other Website
Norway,NO,NOR,5328212,2020-10-21,,36,Country_API
Poland,PL,POL,37972812,2020-10-21,,9439,Country_Website
