country,country_code_2_digit,country_code_3_digit,population,reported_date,confirmed_cases_count,deaths_count,source
Italy,IT,ITA,60359546,2020-02-23,,2,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,2020-02-25,0,0,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,2020-01-14,0,0,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2020-10-21,,8,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,2020-05-17,0,,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-10-10,33,,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,2020-09-04,4995,,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-10-05,30,,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-03-18,9,,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-07-13,,0,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,2020-04-24,0,,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-02-15,0,0,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-06-05,507,,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2020-05-25,,9,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-01-19,0,0,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2020-02-01,0,0,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,2020-06-08,485,,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,2020-02-04,,0,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,2020-01-03,0,0,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-08-21,,0,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-05-22,460,,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-05-04,8,,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,2020-05-15,,262,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-08-17,0,,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,2020-02-07,0,,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,2020-05-28,0,,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-09-28,,15,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2020-09-01,244,,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-03-01,0,,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-02-14,0,0,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-08-15,396,,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,2020-08-16,,5,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-04-13,,0,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,2020-02-11,0,0,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,2020-07-18,32,,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,2020-06-06,64,,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2020-07-19,889,,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,2020-06-05,48,,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,2020-09-10,,0,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,2020-10-09,18129,,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,2020-04-13,,0,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,2020-06-09,1,,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-05-18,4,,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,2020-02-17,0,0,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-06-30,,0,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-07-08,0,,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-06-06,,20,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,2020-03-08,10,,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-09-22,,0,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-07-07,92,,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,2020-06-18,665,,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-04-27,,0,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,2020-05-02,1965,,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,2020-09-29,216,,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-07-25,1,,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-05-30,230,,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,2020-07-28,,7,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2020-10-18,,63,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,2020-01-15,0,0,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-07-02,0,,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-02-08,,0,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,2020-07-08,,0,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,2020-07-21,273,,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-05-17,,0,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,2020-07-15,16,,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,2020-03-11,2,,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2020-07-28,135,,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,2020-05-01,150,,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,2020-07-30,16,,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,2020-07-25,128,,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,2020-05-01,0,,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,2020-09-19,248,,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-06-15,281,,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,2020-04-17,52,,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-09-22,,2,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,2020-03-14,21,,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-06-15,387,,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-05-22,0,,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2020-03-16,,0,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-06-18,4,,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,2020-04-14,,0,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-07-10,1,,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-05-28,0,,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-06-09,6,,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,2020-09-11,189,,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,2020-04-20,,2,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-09-01,,0,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-06-20,,0,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-01-24,0,0,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,2020-06-20,,2,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-08-28,14,,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-04-28,,27,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,2020-07-13,,8,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-07-08,,0,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,2020-10-09,472,,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,2020-05-07,4183,,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,2020-06-06,8726,,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-04-10,115,,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,2020-06-03,,9,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,2020-03-22,,0,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,2020-08-08,297,,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-08-02,,0,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,2020-05-30,8572,,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,2020-06-16,5,,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,2020-05-20,5,,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,2020-05-15,,2,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,2020-03-01,0,,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-01-17,0,0,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-04-23,,2,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2020-01-25,0,0,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-03-27,49,,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,2020-05-21,,3,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-07-24,,0,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-10-11,,0,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-02-17,0,0,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,2020-10-17,,24,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-01-09,0,0,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,2020-04-10,210,,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-08-31,0,0,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,2020-08-18,16,,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,2020-05-25,,0,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,2020-06-30,315,,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-04-04,,9,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,2020-03-11,8,,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-04-25,,0,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,2020-10-15,0,,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,2020-01-11,0,0,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,2020-04-10,,1,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-05-10,667,,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,2020-07-26,1106,,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,2020-05-16,,48,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-09-10,,0,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,2020-07-23,,0,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-04-25,44,,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,2020-02-24,,0,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,2020-04-12,275,,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,2020-03-23,118,,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,2020-06-19,,6,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,2020-02-29,0,0,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,2020-04-02,,0,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,2020-04-30,31,,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-04-17,,0,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-01-29,0,0,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,2020-10-17,,0,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,2020-01-05,0,0,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,2020-07-25,1130,,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2020-01-19,0,0,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,2020-05-19,10,,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,2020-06-21,0,,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,2020-09-10,2582,,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-09-24,57,,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,2020-07-01,142,,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-03-08,3,,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,2020-09-14,0,,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,2020-01-07,0,0,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-04-29,0,,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2020-04-12,13,,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,2020-02-28,,0,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,2020-10-16,,0,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,2020-08-09,329,,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-05-08,,147,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-03-12,0,,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-07-24,307,,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,2020-07-31,265,,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-04-10,0,,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-06-30,,0,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,2020-09-05,0,,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-06-16,2,,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,2020-02-07,0,0,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,2020-04-21,,0,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,2020-07-04,,0,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,2020-05-27,,6,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,2020-08-17,,5,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,2020-03-23,,3,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,2020-04-15,0,,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-04-23,1,,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,2020-02-03,,0,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,2020-06-14,,0,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-05-09,,0,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,2020-10-15,,5,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,2020-04-03,,0,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2020-07-01,,2,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,2020-03-14,,0,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-03-10,,0,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,2020-09-13,,119,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2020-01-06,0,0,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-07-28,,0,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-08-10,,0,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2020-04-24,,35,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-07-12,284,,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,2020-08-09,486,,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,2020-09-26,83,,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,2020-10-18,,29,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-03-24,,0,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,2020-07-18,,3,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2020-04-06,,5,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,2020-04-24,,1,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,2020-10-08,,56,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,2020-09-04,2439,,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-09-25,,0,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,2020-09-23,,3,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-06-09,,0,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-09-28,,0,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-06-30,20,,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,2020-03-03,,0,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,2020-05-03,,166,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,2020-06-22,5,,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-08-03,286,,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,2020-04-26,,0,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-09-03,,0,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,2020-06-03,,0,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-07-10,105,,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-03-13,,0,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,2020-04-19,18,,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-05-01,6,,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,2020-04-18,,0,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,2020-03-12,,3,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-09-14,,5,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,2020-10-18,,2,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-08-28,,0,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,2020-06-01,185,,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-09-23,2,,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,2020-10-14,,2,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,2020-09-11,,58,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2020-07-24,31,,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,2020-05-10,89,,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,2020-02-27,0,0,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2020-07-18,,0,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2020-03-27,,4,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,2020-02-23,0,0,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2020-08-25,155,,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,2020-01-06,0,0,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,2020-07-15,,0,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-02-18,0,0,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,2020-01-03,0,0,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-05-07,1,,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-04-22,127,,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,2020-06-09,,0,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,2020-01-27,0,0,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-07-04,422,,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,2020-03-01,,0,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,2020-06-30,1,0,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2020-06-04,31,,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2020-01-20,0,0,"Epidemic intelligence, national daily data"
